 Name                       Version      License                              
 Flask                      3.1.0        BSD License                          
 Jinja2                     3.1.5        BSD License                          
 MarkupSafe                 3.0.2        BSD License                          
 Pygments                   2.19.1       BSD License                          
 Werkzeug                   3.1.3        BSD License                          
 appnope                    0.1.4        BSD License                          
 asttokens                  3.0.0        Apache 2.0                           
 attrs                      24.3.0       UNKNOWN                              
 backcall                   0.2.0        BSD License                          
 beautifulsoup4             4.12.3       MIT License                          
 bleach                     6.2.0        Apache Software License              
 blinker                    1.9.0        MIT License                          
 certifi                    2024.12.14   Mozilla Public License 2.0 (MPL 2.0) 
 charset-normalizer         3.4.1        MIT License                          
 click                      8.1.8        BSD License                          
 decorator                  5.1.1        BSD License                          
 defusedxml                 0.7.1        Python Software Foundation License   
 docopt                     0.6.2        MIT License                          
 executing                  2.1.0        MIT License                          
 fastjsonschema             2.21.1       BSD License                          
 gunicorn                   23.0.0       MIT License                          
 idna                       3.10         BSD License                          
 importlib_metadata         8.5.0        Apache Software License              
 ipython                    8.12.3       BSD License                          
 itsdangerous               2.2.0        BSD License                          
 jedi                       0.19.2       MIT License                          
 jsonschema                 4.23.0       MIT License                          
 jsonschema-specifications  2024.10.1    MIT License                          
 jupyter_client             8.6.3        BSD License                          
 jupyter_core               5.7.2        BSD License                          
 jupyterlab_pygments        0.3.0        BSD License                          
 matplotlib-inline          0.1.7        BSD License                          
 mistune                    3.1.0        BSD License                          
 nbclient                   0.10.2       BSD License                          
 nbconvert                  7.16.5       BSD License                          
 nbformat                   5.10.4       BSD License                          
 oauthlib                   3.2.2        BSD License                          
 packaging                  24.2         Apache Software License; BSD License 
 pandocfilters              1.5.1        BSD License                          
 parso                      0.8.4        MIT License                          
 pexpect                    4.9.0        ISC License (ISCL)                   
 pickleshare                0.7.5        MIT License                          
 pipreqs                    0.5.0        Apache Software License              
 platformdirs               4.3.6        MIT License                          
 prompt_toolkit             3.0.48       BSD License                          
 ptyprocess                 0.7.0        ISC License (ISCL)                   
 pure_eval                  0.2.3        MIT License                          
 python-dateutil            2.9.0.post0  Apache Software License; BSD License 
 pyzmq                      26.2.0       BSD License                          
 referencing                0.35.1       MIT License                          
 requests                   2.32.3       Apache Software License              
 rpds-py                    0.22.3       MIT License                          
 six                        1.17.0       MIT License                          
 soupsieve                  2.6          MIT License                          
 stack-data                 0.6.3        MIT License                          
 tinycss2                   1.4.0        BSD License                          
 tornado                    6.4.2        Apache Software License              
 traitlets                  5.14.3       BSD License                          
 typing_extensions          4.12.2       Python Software Foundation License   
 urllib3                    2.3.0        MIT License                          
 webencodings               0.5.1        BSD License                          
 yarg                       0.1.9        MIT License                          
 zipp                       3.21.0       MIT License                          
